component,locus_tag,product,required_subunits,produced_subunits,consumed_subunits,gate_status,evidence_basis
capsid,MpP1p02,P38,60,60,60,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
tail_sheath,MpP1p03,P46,48,48,48,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
portal_neck,MpP1p04,P10,12,12,12,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
portal_neck,MpP1p05,P10.2,12,12,12,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
baseplate,MpP1p06,P23,18,18,18,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
tail_sheath,MpP1p07,P81,48,48,48,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
tail_tube,MpP1p08,P46,24,24,24,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
tail_fiber,MpP1p09,P38.4,6,6,6,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
tail_fiber,MpP1p10,P38.8,6,6,6,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
tail_tube,MpP1p11,P10.1,24,24,24,PASS,coarse_component_stoichiometry_gate_for_4DWCM_fit_not_atomic_structure
