time_s,rep_event,assembly_event,rep_unpacked_products,rep_packaged_products,converted_packaged_products,unpacked_genome_after,packaged_genome_after,TX_L1_4,TL_L1_4,TX_L1_1,TL_L1_1,TX_L1_2,TL_L1_2,TX_L1_3,TL_L1_3,tx_total,tl_total
18,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
28,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
33,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
40,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
48,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
51,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
57,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
61,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
73,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
74,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
79,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
84,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
94,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
97,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
110,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
117,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
129,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
135,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
137,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
138,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
168,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
177,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
197,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
203,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
206,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
207,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
213,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
224,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
229,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
266,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
269,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,1
296,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
301,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
307,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
311,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
312,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
330,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
336,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
337,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
340,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2
341,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
351,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
361,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
384,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
390,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
396,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
402,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
429,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
432,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
441,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
453,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
463,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
464,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
473,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
475,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
489,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
501,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
502,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
506,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
514,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
523,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
540,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
543,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
557,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0
571,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
575,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
578,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
583,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
586,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
588,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0
592,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
593,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
603,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
606,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
622,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
629,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1
