source_index,time_s,geometry_version,volume_voxels,volume_um3,surface_lattice_faces,surface_um2,axial_length_nm,transverse_extent_nm,midplane_storage_index,midplane_area_nm2,lobe_reference_area_nm2,neck_area_ratio,constriction_index,components_6,components_26,largest_component_fraction,volume_fold,V_L1_Genome,V_L1_membrane_damage,V_L1_breach,V_L1_released,V_L1_virion
0,0.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
1,4.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
2,8.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
3,12.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
4,16.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
5,20.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
6,24.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
7,28.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
8,32.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
9,36.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
10,40.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
11,44.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
12,48.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
13,52.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
14,56.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
15,60.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
16,64.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
17,68.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
18,72.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
19,76.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
20,80.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
21,84.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
22,88.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
23,92.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
24,96.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
25,100.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
26,104.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
27,108.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
28,112.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
29,116.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
30,120.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
31,124.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
32,128.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
33,132.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
34,136.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
35,140.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
36,144.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
37,148.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
38,152.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
39,156.0,0,50397,0.050397,9558,0.9558000000000001,450,450,64,159300,159300.0,1.0,0.0,1,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
