time_s,source_key,value
13,TX_MpP1p08,1
14,TX_MpP1p04,1
18,TX_MpP1p10,1
24,TX_MpP1p04,1
25,TL_MpP1p04,1
27,TX_MpP1p05,1
27,TL_MpP1p08,1
28,TX_MpP1p07,1
32,TL_MpP1p07,1
36,TL_MpP1p07,1
39,TL_MpP1p05,1
40,TX_MpP1p11,1
41,TX_MpP1p07,1
42,TL_MpP1p04,1
42,TL_MpP1p07,1
42,TX_MpP1p10,1
44,TX_MpP1p02,1
44,TL_MpP1p04,1
46,TL_MpP1p04,1
47,TL_MpP1p05,1
48,TL_MpP1p07,1
50,TL_MpP1p10,1
51,TL_MpP1p04,1
53,TL_MpP1p07,1
53,TL_MpP1p10,1
55,TL_MpP1p11,1
57,TX_MpP1p04,1
59,TL_MpP1p04,1
60,TL_MpP1p04,1
61,TX_MpP1p10,1
62,TX_MpP1p06,1
62,TX_MpP1p08,1
64,TX_MpP1p01,1
64,TL_MpP1p11,1
65,TL_MpP1p02,1
66,TX_MpP1p04,1
66,TL_MpP1p06,1
69,TL_MpP1p05,1
69,TL_MpP1p08,1
72,TL_MpP1p04,1
72,TX_MpP1p09,1
73,TL_MpP1p05,1
73,TL_MpP1p07,2
76,TL_MpP1p06,1
76,TL_MpP1p10,1
77,TL_MpP1p04,1
77,TL_MpP1p07,1
78,TL_MpP1p02,1
79,TL_MpP1p04,2
80,TL_MpP1p08,1
81,TL_MpP1p04,1
82,TL_MpP1p04,1
82,TL_MpP1p11,1
84,TL_MpP1p04,2
86,TL_MpP1p07,1
87,TL_MpP1p10,1
88,TL_MpP1p02,1
88,TL_MpP1p08,1
92,TX_MpP1p04,1
93,TL_MpP1p02,1
95,TL_MpP1p02,1
95,TX_MpP1p11,1
96,TL_MpP1p11,1
98,TL_MpP1p05,1
99,TL_MpP1p04,1
100,TL_MpP1p07,1
101,TL_MpP1p07,1
101,TL_MpP1p11,1
102,TL_MpP1p11,1
103,TL_MpP1p11,1
107,TL_MpP1p04,1
107,TX_MpP1p08,1
108,TL_MpP1p05,1
109,TX_MpP1p02,1
109,TL_MpP1p02,1
110,TL_MpP1p04,1
110,TX_MpP1p05,1
111,TL_MpP1p10,1
111,TL_MpP1p11,1
112,TL_MpP1p08,1
114,TX_MpP1p03,1
114,TL_MpP1p09,1
114,TX_MpP1p11,1
114,TL_MpP1p11,1
