locus,state,time_s,count
MpP1p01,R,0,0
MpP1p01,R,4,0
MpP1p01,R,8,0
MpP1p01,R,12,0
MpP1p01,R,16,0
MpP1p01,R,20,0
MpP1p01,R,24,0
MpP1p01,R,28,0
MpP1p01,R,32,0
MpP1p01,R,36,0
MpP1p01,R,40,0
MpP1p01,R,44,0
MpP1p01,R,48,0
MpP1p01,R,52,0
MpP1p01,R,56,0
MpP1p01,R,60,0
MpP1p01,R,64,1
MpP1p01,R,68,0
MpP1p01,R,72,0
MpP1p01,R,76,0
MpP1p01,R,80,0
MpP1p01,R,84,0
MpP1p01,R,88,0
MpP1p01,R,92,0
MpP1p01,R,96,0
MpP1p01,R,100,0
MpP1p01,R,104,0
MpP1p01,R,108,0
MpP1p01,R,112,0
MpP1p01,R,116,0
MpP1p01,R,120,0
MpP1p01,R,124,0
MpP1p01,R,128,0
MpP1p01,R,132,0
MpP1p01,R,136,0
MpP1p01,R,140,0
MpP1p01,R,144,0
MpP1p01,R,148,0
MpP1p01,R,152,0
MpP1p01,R,156,0
MpP1p01,R,160,0
MpP1p01,R,164,0
MpP1p01,R,168,0
MpP1p01,R,172,0
MpP1p01,R,176,0
MpP1p01,R,180,0
MpP1p01,R,184,1
MpP1p01,R,188,0
MpP1p01,R,192,0
MpP1p01,R,196,0
MpP1p01,R,200,0
MpP1p01,R,204,1
MpP1p01,R,208,0
MpP1p01,R,212,0
MpP1p01,R,216,0
MpP1p01,R,220,0
MpP1p01,R,224,0
MpP1p01,R,228,0
MpP1p01,R,232,0
MpP1p01,R,236,0
MpP1p01,R,240,0
MpP1p01,R,244,0
MpP1p01,R,248,0
MpP1p01,R,252,0
MpP1p01,R,256,0
MpP1p01,R,260,0
MpP1p01,R,264,0
MpP1p01,R,268,0
MpP1p01,R,272,0
MpP1p01,R,276,0
MpP1p01,R,280,0
MpP1p01,R,284,0
MpP1p01,R,288,0
MpP1p01,R,292,0
MpP1p01,R,296,0
MpP1p01,R,300,1
MpP1p01,R,304,0
MpP1p01,R,308,1
MpP1p01,R,312,0
MpP1p01,R,316,0
MpP1p01,R,320,0
MpP1p01,R,324,0
MpP1p01,R,328,0
MpP1p01,R,332,1
MpP1p01,R,336,1
MpP1p01,R,340,0
MpP1p01,R,344,0
MpP1p01,R,348,0
MpP1p01,R,352,0
MpP1p01,R,356,0
MpP1p01,R,360,0
MpP1p01,R,364,0
MpP1p01,R,368,0
MpP1p01,R,372,0
MpP1p01,R,376,1
MpP1p01,R,380,1
MpP1p01,R,384,0
MpP1p01,R,388,0
MpP1p01,R,392,1
MpP1p01,R,396,2
MpP1p01,R,400,2
MpP1p01,R,404,2
MpP1p01,R,408,2
MpP1p01,R,412,1
MpP1p01,R,416,1
MpP1p01,R,420,1
MpP1p01,R,424,0
MpP1p01,R,428,0
MpP1p01,R,432,0
MpP1p01,R,436,0
MpP1p01,R,440,1
MpP1p01,R,444,1
MpP1p01,R,448,1
MpP1p01,R,452,1
MpP1p01,R,456,0
MpP1p01,R,460,0
MpP1p01,R,464,2
MpP1p01,R,468,2
MpP1p01,R,472,0
MpP1p01,R,476,1
MpP1p01,R,480,1
MpP1p01,R,484,0
MpP1p01,R,488,1
MpP1p01,R,492,1
MpP1p01,R,496,0
MpP1p01,R,500,0
MpP1p01,R,504,1
MpP1p01,R,508,1
MpP1p01,R,512,0
MpP1p01,R,516,0
MpP1p01,R,520,0
MpP1p01,R,524,0
MpP1p01,R,528,0
MpP1p01,R,532,0
MpP1p01,R,536,1
MpP1p01,R,540,0
MpP1p01,R,544,3
MpP1p01,R,548,0
MpP1p01,R,552,1
MpP1p01,R,556,2
MpP1p01,R,560,1
MpP1p01,R,564,0
MpP1p01,R,568,0
MpP1p01,R,572,0
MpP1p01,R,576,0
MpP1p01,R,580,0
