time_s,assembled,retained,fully_inside,released,pending,membrane_voxels,volume_voxels,membrane_removed_from_initial,membrane_added_to_initial,pore_voxels,contact_voxels,damage,integrity,breach,membrane_version
1236,0,0,0,0,0,9842,57515,0,0,0,0,0.0,1.0,0,0
1237,0,0,0,0,0,9842,57515,0,0,0,0,0.0,1.0,0,0
1238,1,1,1,0,0,9846,57532,13,17,0,15,0.1505,0.8495,0,1
1239,2,2,2,0,0,9846,57532,13,17,0,15,0.1515,0.8485,0,1
1240,2,2,2,0,0,9846,57532,13,17,0,15,0.1525,0.8475,0,1
1241,2,2,2,0,0,9846,57532,13,17,0,15,0.1535,0.8465,0,1
1242,2,2,2,0,0,9846,57532,13,17,0,15,0.1545,0.8455,0,1
1243,2,2,2,0,0,9846,57532,13,17,0,15,0.1555,0.8445,0,1
1244,2,2,2,0,0,9846,57532,13,17,0,15,0.1565,0.8435,0,1
1245,2,2,2,0,0,9846,57532,13,17,0,15,0.1575,0.8425,0,1
1246,2,2,2,0,0,9846,57532,13,17,0,15,0.1585,0.8415,0,1
1247,2,2,2,0,0,9846,57532,13,17,0,15,0.1595,0.8405,0,1
1248,2,2,2,0,0,9846,57532,13,17,0,15,0.1605,0.8395,0,1
1249,2,2,2,0,0,9846,57532,13,17,0,15,0.1615,0.8385,0,1
1250,2,2,2,0,0,9846,57532,13,17,0,15,0.1625,0.8375,0,1
1251,2,2,2,0,0,9846,57532,13,17,0,15,0.1635,0.8365,0,1
1252,2,2,2,0,0,9846,57532,13,17,0,15,0.1645,0.8355,0,1
1253,2,2,2,0,0,9846,57532,13,17,0,15,0.1655,0.8345,0,1
1254,2,2,2,0,0,9846,57532,13,17,0,15,0.1665,0.8335,0,1
1255,2,2,2,0,0,9846,57532,13,17,0,15,0.1675,0.8325,0,1
1256,2,2,2,0,0,9846,57532,13,17,0,15,0.1685,0.8315,0,1
1257,2,2,2,0,0,9846,57532,13,17,0,15,0.1695,0.8305,0,1
1258,2,2,2,0,0,9846,57532,13,17,0,15,0.1705,0.8295,0,1
1259,2,2,2,0,0,9846,57532,13,17,0,15,0.1715,0.8285,0,1
1260,2,2,2,0,0,9846,57532,13,17,0,15,0.17250000000000001,0.8275,0,1
1261,2,2,2,0,0,9846,57532,13,17,0,15,0.17350000000000002,0.8265,0,1
