time_s,V_P1_Genome,V_P1_packaged_genome,V_P1_virion,V_P1_released
0.0,1.0,0.0,0.0,0.0
4.0,1.0,0.0,0.0,0.0
8.0,1.0,0.0,0.0,0.0
12.0,1.0,0.0,0.0,0.0
16.0,1.0,0.0,0.0,0.0
20.0,1.0,0.0,0.0,0.0
24.0,1.0,0.0,0.0,0.0
28.0,1.0,0.0,0.0,0.0
32.0,1.0,0.0,0.0,0.0
36.0,1.0,0.0,0.0,0.0
40.0,1.0,0.0,0.0,0.0
44.0,1.0,0.0,0.0,0.0
48.0,1.0,0.0,0.0,0.0
52.0,1.0,0.0,0.0,0.0
56.0,1.0,0.0,0.0,0.0
60.0,1.0,0.0,0.0,0.0
64.0,1.0,0.0,0.0,0.0
68.0,1.0,0.0,0.0,0.0
72.0,1.0,0.0,0.0,0.0
76.0,1.0,0.0,0.0,0.0
80.0,1.0,0.0,0.0,0.0
84.0,1.0,0.0,0.0,0.0
88.0,1.0,0.0,0.0,0.0
92.0,1.0,0.0,0.0,0.0
96.0,1.0,0.0,0.0,0.0
100.0,1.0,0.0,0.0,0.0
104.0,1.0,0.0,0.0,0.0
108.0,1.0,0.0,0.0,0.0
112.0,1.0,0.0,0.0,0.0
116.0,1.0,0.0,0.0,0.0
120.0,1.0,0.0,0.0,0.0
124.0,1.0,0.0,0.0,0.0
128.0,1.0,0.0,0.0,0.0
132.0,1.0,0.0,0.0,0.0
136.0,1.0,0.0,0.0,0.0
140.0,1.0,0.0,0.0,0.0
144.0,1.0,0.0,0.0,0.0
148.0,1.0,0.0,0.0,0.0
152.0,1.0,0.0,0.0,0.0
156.0,1.0,0.0,0.0,0.0
160.0,1.0,0.0,0.0,0.0
164.0,1.0,0.0,0.0,0.0
168.0,1.0,0.0,0.0,0.0
172.0,1.0,0.0,0.0,0.0
176.0,1.0,0.0,0.0,0.0
180.0,1.0,0.0,0.0,0.0
184.0,1.0,0.0,0.0,0.0
188.0,1.0,0.0,0.0,0.0
192.0,1.0,0.0,0.0,0.0
196.0,1.0,0.0,0.0,0.0
200.0,1.0,0.0,0.0,0.0
204.0,1.0,0.0,0.0,0.0
208.0,1.0,0.0,0.0,0.0
212.0,1.0,0.0,0.0,0.0
216.0,1.0,0.0,0.0,0.0
220.0,1.0,0.0,0.0,0.0
224.0,1.0,0.0,0.0,0.0
228.0,1.0,0.0,0.0,0.0
232.0,1.0,0.0,0.0,0.0
236.0,1.0,0.0,0.0,0.0
240.0,1.0,0.0,0.0,0.0
244.0,1.0,0.0,0.0,0.0
248.0,1.0,0.0,0.0,0.0
252.0,1.0,0.0,0.0,0.0
256.0,1.0,0.0,0.0,0.0
260.0,1.0,0.0,0.0,0.0
264.0,1.0,0.0,0.0,0.0
268.0,1.0,0.0,0.0,0.0
272.0,1.0,0.0,0.0,0.0
276.0,1.0,0.0,0.0,0.0
280.0,1.0,0.0,0.0,0.0
284.0,1.0,0.0,0.0,0.0
288.0,1.0,0.0,0.0,0.0
