time_s,protein_inventory,translation,packaging_consumption,logged_removal,residual
0,0,0,0,0,0
4,0,0,0,0,0
8,0,0,0,0,0
12,0,0,0,0,0
16,0,0,0,0,0
20,0,0,0,0,0
24,0,0,0,0,0
28,2,2,0,0,0
32,3,3,0,0,0
36,4,4,0,0,0
40,5,5,0,0,0
44,8,8,0,0,0
48,11,11,0,0,0
52,13,13,0,0,0
56,16,16,0,0,0
60,18,18,0,0,0
64,19,19,0,0,0
68,21,21,0,0,0
72,24,24,0,0,0
76,29,29,0,0,0
80,35,35,0,0,0
84,40,40,0,0,0
88,44,44,0,0,0
92,44,44,0,0,0
96,47,47,0,0,0
100,50,50,0,0,0
104,54,54,0,0,0
108,56,56,0,0,0
112,61,61,0,0,0
116,65,65,0,0,0
120,68,68,0,0,0
124,72,72,0,0,0
128,73,73,0,0,0
132,76,76,0,0,0
136,80,80,0,0,0
140,84,84,0,0,0
144,89,89,0,0,0
148,94,94,0,0,0
152,102,102,0,0,0
156,106,106,0,0,0
160,111,111,0,0,0
164,114,114,0,0,0
168,120,120,0,0,0
172,125,125,0,0,0
176,134,134,0,0,0
180,138,138,0,0,0
184,145,145,0,0,0
188,150,150,0,0,0
192,155,155,0,0,0
196,166,166,0,0,0
200,172,172,0,0,0
204,180,180,0,0,0
208,188,188,0,0,0
212,200,200,0,0,0
216,207,207,0,0,0
220,214,214,0,0,0
224,222,222,0,0,0
228,234,234,0,0,0
232,241,241,0,0,0
236,250,250,0,0,0
240,256,256,0,0,0
244,270,270,0,0,0
248,278,278,0,0,0
252,286,286,0,0,0
256,295,295,0,0,0
260,307,307,0,0,0
264,314,314,0,0,0
268,323,323,0,0,0
272,335,335,0,0,0
276,346,346,0,0,0
280,358,358,0,0,0
284,366,366,0,0,0
288,371,371,0,0,0
292,381,381,0,0,0
296,387,387,0,0,0
300,395,395,0,0,0
304,408,408,0,0,0
308,425,425,0,0,0
312,441,441,0,0,0
316,450,450,0,0,0
320,459,459,0,0,0
324,469,469,0,0,0
328,475,475,0,0,0
332,487,487,0,0,0
336,503,503,0,0,0
340,512,512,0,0,0
344,529,529,0,0,0
348,536,536,0,0,0
352,550,550,0,0,0
356,560,560,0,0,0
360,574,574,0,0,0
364,586,586,0,0,0
368,597,597,0,0,0
372,608,608,0,0,0
376,624,624,0,0,0
380,639,639,0,0,0
384,651,651,0,0,0
388,659,659,0,0,0
392,668,668,0,0,0
396,678,678,0,0,0
400,690,690,0,0,0
404,703,703,0,0,0
408,719,719,0,0,0
412,729,729,0,0,0
416,741,741,0,0,0
420,748,748,0,0,0
424,763,763,0,0,0
428,780,780,0,0,0
432,790,790,0,0,0
436,802,802,0,0,0
440,817,817,0,0,0
444,833,833,0,0,0
448,844,844,0,0,0
452,854,854,0,0,0
456,865,865,0,0,0
460,881,881,0,0,0
464,891,891,0,0,0
468,904,904,0,0,0
472,920,920,0,0,0
476,928,928,0,0,0
480,934,934,0,0,0
484,948,948,0,0,0
488,959,959,0,0,0
492,966,966,0,0,0
496,975,975,0,0,0
500,993,993,0,0,0
504,1004,1004,0,0,0
508,1020,1020,0,0,0
512,1029,1029,0,0,0
516,1042,1042,0,0,0
520,1060,1060,0,0,0
524,1072,1072,0,0,0
528,1084,1084,0,0,0
532,1095,1095,0,0,0
536,1111,1111,0,0,0
540,1129,1129,0,0,0
544,1146,1146,0,0,0
548,1153,1153,0,0,0
552,1166,1166,0,0,0
556,1181,1181,0,0,0
560,1194,1194,0,0,0
564,1214,1214,0,0,0
568,1227,1227,0,0,0
572,1246,1246,0,0,0
576,1262,1262,0,0,0
580,1277,1277,0,0,0
584,1289,1289,0,0,0
588,1302,1302,0,0,0
592,1312,1312,0,0,0
596,1331,1331,0,0,0
600,1343,1343,0,0,0
604,1360,1360,0,0,0
608,1374,1374,0,0,0
612,1389,1389,0,0,0
616,1398,1398,0,0,0
620,1419,1419,0,0,0
624,1436,1436,0,0,0
628,1450,1450,0,0,0
632,1463,1463,0,0,0
636,1478,1478,0,0,0
640,1502,1502,0,0,0
644,1514,1514,0,0,0
648,1522,1522,0,0,0
652,1538,1538,0,0,0
656,1551,1551,0,0,0
660,1563,1563,0,0,0
664,1581,1581,0,0,0
668,1591,1591,0,0,0
672,1605,1605,0,0,0
676,1614,1614,0,0,0
680,1630,1630,0,0,0
684,1641,1641,0,0,0
688,1660,1660,0,0,0
692,1672,1672,0,0,0
696,1684,1684,0,0,0
700,1695,1695,0,0,0
704,1715,1715,0,0,0
708,1734,1734,0,0,0
712,1749,1749,0,0,0
716,1761,1761,0,0,0
720,1784,1784,0,0,0
724,1801,1801,0,0,0
728,1820,1820,0,0,0
732,1834,1834,0,0,0
736,1849,1849,0,0,0
740,1862,1862,0,0,0
744,1877,1877,0,0,0
748,1890,1890,0,0,0
752,1902,1902,0,0,0
756,1920,1920,0,0,0
760,1938,1938,0,0,0
764,1952,1952,0,0,0
768,1971,1971,0,0,0
772,1983,1983,0,0,0
776,1997,1997,0,0,0
780,2011,2011,0,0,0
784,2022,2022,0,0,0
788,2039,2039,0,0,0
792,2053,2053,0,0,0
796,2074,2074,0,0,0
800,2088,2088,0,0,0
804,2101,2101,0,0,0
808,2114,2114,0,0,0
812,2126,2126,0,0,0
816,2142,2142,0,0,0
820,2162,2162,0,0,0
824,2180,2180,0,0,0
828,2192,2192,0,0,0
832,2208,2208,0,0,0
836,2221,2221,0,0,0
840,2242,2242,0,0,0
844,2257,2257,0,0,0
848,2267,2267,0,0,0
852,2283,2283,0,0,0
856,2301,2301,0,0,0
860,2315,2315,0,0,0
864,2332,2332,0,0,0
868,2353,2353,0,0,0
872,2366,2366,0,0,0
876,2377,2377,0,0,0
880,2391,2391,0,0,0
884,2401,2401,0,0,0
888,2417,2417,0,0,0
892,2430,2430,0,0,0
896,2447,2447,0,0,0
900,2463,2463,0,0,0
904,2477,2477,0,0,0
908,2491,2491,0,0,0
912,2508,2508,0,0,0
916,2522,2522,0,0,0
920,2548,2548,0,0,0
924,2571,2571,0,0,0
928,2587,2587,0,0,0
932,2603,2603,0,0,0
936,2623,2623,0,0,0
940,2646,2646,0,0,0
944,2668,2668,0,0,0
948,2683,2683,0,0,0
952,2713,2713,0,0,0
956,2734,2734,0,0,0
960,2759,2759,0,0,0
964,2784,2784,0,0,0
968,2808,2808,0,0,0
972,2830,2830,0,0,0
976,2858,2858,0,0,0
980,2884,2884,0,0,0
984,2913,2913,0,0,0
988,2935,2935,0,0,0
992,2964,2964,0,0,0
996,3001,3001,0,0,0
1000,3019,3019,0,0,0
1004,3047,3047,0,0,0
1008,3083,3083,0,0,0
1012,3120,3120,0,0,0
1016,3147,3147,0,0,0
1020,3185,3185,0,0,0
1024,3214,3214,0,0,0
1028,3238,3238,0,0,0
1032,3271,3271,0,0,0
1036,3305,3305,0,0,0
1040,3334,3334,0,0,0
1044,3372,3372,0,0,0
1048,3412,3412,0,0,0
1052,3445,3445,0,0,0
1056,3494,3494,0,0,0
1060,3529,3529,0,0,0
1064,3573,3573,0,0,0
1068,3608,3608,0,0,0
1072,3658,3658,0,0,0
1076,3705,3705,0,0,0
1080,3739,3739,0,0,0
1084,3783,3783,0,0,0
1088,3818,3818,0,0,0
1092,3855,3855,0,0,0
1096,3911,3911,0,0,0
1100,3952,3952,0,0,0
1104,3997,3997,0,0,0
1108,4042,4042,0,0,0
1112,4085,4085,0,0,0
1116,4130,4130,0,0,0
1120,4181,4181,0,0,0
1124,4221,4221,0,0,0
1128,4275,4275,0,0,0
1132,4322,4322,0,0,0
1136,4375,4375,0,0,0
1140,4422,4422,0,0,0
1144,4473,4473,0,0,0
1148,4528,4528,0,0,0
1152,4589,4589,0,0,0
1156,4639,4639,0,0,0
1160,4682,4682,0,0,0
1164,4733,4733,0,0,0
1168,4787,4787,0,0,0
1172,4835,4835,0,0,0
1176,4896,4896,0,0,0
1180,4956,4956,0,0,0
1184,5016,5016,0,0,0
1188,5065,5065,0,0,0
1192,5123,5123,0,0,0
1196,5180,5180,0,0,0
1200,5235,5235,0,0,0
1204,5298,5298,0,0,0
1208,5364,5364,0,0,0
1212,5429,5429,0,0,0
1216,5481,5481,0,0,0
1220,5545,5545,0,0,0
1224,5623,5623,0,0,0
1228,5692,5692,0,0,0
1232,5735,5735,0,0,0
1236,5809,5809,0,0,0
1240,5484,5884,400,0,0
1244,5548,5948,400,0,0
1248,5614,6014,400,0,0
1252,5683,6083,400,0,0
1256,5766,6166,400,0,0
1260,5814,6214,400,0,0
1264,5875,6275,400,0,0
1268,5934,6334,400,0,0
1272,5997,6397,400,0,0
1276,6053,6453,400,0,0
1280,6105,6505,400,0,0
1284,6139,6539,400,0,0
1288,6190,6590,400,0,0
1292,6236,6636,400,0,0
1296,6086,6686,600,0,0
1300,6126,6726,600,0,0
1304,5470,6750,1200,80,0
1308,5139,6773,1400,234,0
1312,4726,6784,1600,458,0
1316,4526,6785,1600,659,0
1320,3927,6785,1800,1058,0
1324,2867,6785,2200,1718,0
1328,2531,6785,2200,2054,0
1332,2195,6785,2200,2390,0
1336,1663,6785,2200,2922,0
1340,1010,6785,2200,3575,0
1344,351,6785,2200,4234,0
1348,19,6785,2200,4566,0
1352,1,6785,2200,4584,0
1356,0,6785,2200,4585,0
1360,0,6785,2200,4585,0
1364,0,6785,2200,4585,0
1368,0,6785,2200,4585,0
1372,0,6785,2200,4585,0
1376,0,6785,2200,4585,0
1380,0,6785,2200,4585,0
1384,0,6785,2200,4585,0
1388,0,6785,2200,4585,0
1392,0,6785,2200,4585,0
1396,0,6785,2200,4585,0
1400,0,6785,2200,4585,0
1404,0,6785,2200,4585,0
1408,0,6785,2200,4585,0
1412,0,6785,2200,4585,0
1416,0,6785,2200,4585,0
1420,0,6785,2200,4585,0
1424,0,6785,2200,4585,0
1428,0,6785,2200,4585,0
1432,0,6785,2200,4585,0
1436,0,6785,2200,4585,0
1440,0,6785,2200,4585,0
1444,0,6785,2200,4585,0
1448,0,6785,2200,4585,0
1452,0,6785,2200,4585,0
1456,0,6785,2200,4585,0
1460,0,6785,2200,4585,0
1464,0,6785,2200,4585,0
1468,0,6785,2200,4585,0
1472,0,6785,2200,4585,0
1476,0,6785,2200,4585,0
1480,0,6785,2200,4585,0
