virus,accession,molecule_id,cds_index,locus_tag,gene,product,location,strand,start_bp,end_bp,tx_start_bp,tx_end_bp,start_bead,end_bead,tx_start_bead,tx_end_bead,tx_start_x_A,tx_start_y_A,tx_start_z_A,tx_start_lattice_x,tx_start_lattice_y,tx_start_lattice_z
P1-like,NC_002515.1,1,1,MpP1p01,orf1,DNA polymerase,350..2434,+,350,2434,350,2434,35,244,35,244,59.85642210,-655.21859382,-1250.13389282,32,25,51
P1-like,NC_002515.1,1,2,MpP1p02,orf2,P38,2427..3392,+,2427,3392,2427,3392,243,340,243,340,484.39799555,-702.64959313,-412.25153801,36,24,59
P1-like,NC_002515.1,1,3,MpP1p03,orf3,P46,3322..4494,+,3322,4494,3322,4494,333,450,333,450,54.06016552,-890.66319234,-557.10869659,32,23,58
P1-like,NC_002515.1,1,4,MpP1p04,orf4,P10,4510..4752,+,4510,4752,4510,4752,451,476,451,476,-630.30591784,-1103.94972627,-369.76739423,25,20,60
P1-like,NC_002515.1,1,5,MpP1p05,orf5,P10.2,4782..5030,+,4782,5030,4782,5030,479,503,479,503,-300.86183454,-1407.78474057,-257.11527572,28,17,61
P1-like,NC_002515.1,1,6,MpP1p06,orf6,P23,5033..5581,+,5033,5581,5033,5581,504,559,504,559,-208.85426945,-1434.98094209,-642.50833841,29,17,57
P1-like,NC_002515.1,1,7,MpP1p07,orf7,P81,complement(5627..7693),-,5627,7693,7693,5627,563,770,770,563,-454.73647842,-437.92636691,-160.31149009,27,27,62
P1-like,NC_002515.1,1,8,MpP1p08,orf8,P46,complement(7903..9102),-,7903,9102,9102,7903,791,911,911,791,-248.48051340,-715.88729942,-82.89085975,29,24,63
P1-like,NC_002515.1,1,9,MpP1p09,orf9,P38.4,complement(9080..10054),-,9080,10054,10054,9080,908,1006,1006,908,277.19226087,-816.44877119,-201.19228804,34,23,61
P1-like,NC_002515.1,1,10,MpP1p10,orf10,P38.8,complement(10060..11061),-,10060,11061,11061,10060,1006,1107,1107,1006,389.76102054,-1388.93618625,587.86238675,35,18,69
P1-like,NC_002515.1,1,11,MpP1p11,orf11,P10.1,complement(11045..11305),-,11045,11305,11305,11045,1105,1131,1131,1105,668.88460879,-1309.67705865,266.87079076,38,18,66
