virus,accession,cds_index,locus_tag,gene,product,location,nt_length,aa_length,transl_table,translation_source,nt_A,nt_C,nt_G,nt_T,aa_ALA,aa_CYS,aa_ASP,aa_GLU,aa_PHE,aa_GLY,aa_HIS,aa_ILE,aa_LYS,aa_LEU,aa_MET,aa_ASN,aa_PRO,aa_GLN,aa_ARG,aa_SER,aa_THR,aa_VAL,aa_TRP,aa_TYR
P1-like,NC_002515.1,1,MpP1p01,orf1,DNA polymerase,350..2434,2085,694,4,genbank_translation,825,250,314,696,29,4,42,54,49,23,11,55,80,63,18,48,17,23,19,42,33,30,3,51
P1-like,NC_002515.1,2,MpP1p02,orf2,P38,2427..3392,966,321,4,genbank_translation,408,106,135,317,17,0,14,19,25,11,7,16,47,28,3,31,2,11,14,21,18,15,2,20
P1-like,NC_002515.1,3,MpP1p03,orf3,P46,3322..4494,1173,390,4,genbank_translation,473,129,166,405,15,1,27,20,28,11,7,36,45,40,8,31,5,14,17,27,17,19,2,20
P1-like,NC_002515.1,4,MpP1p04,orf4,P10,4510..4752,243,80,4,genbank_translation,110,19,35,79,1,0,4,9,5,0,1,8,11,4,2,6,2,1,3,4,3,7,0,9
P1-like,NC_002515.1,5,MpP1p05,orf5,P10.2,4782..5030,249,82,4,genbank_translation,96,20,36,97,0,4,7,5,9,0,2,8,9,6,3,6,1,1,4,4,3,4,0,6
P1-like,NC_002515.1,6,MpP1p06,orf6,P23,5033..5581,549,182,4,genbank_translation,253,47,77,172,1,1,16,17,10,4,7,20,24,14,6,15,3,9,7,3,6,6,6,7
P1-like,NC_002515.1,7,MpP1p07,orf7,P81,complement(5627..7693),2067,688,4,genbank_translation,791,280,295,701,34,3,42,48,49,24,8,59,49,63,4,63,17,36,27,52,29,29,15,37
P1-like,NC_002515.1,8,MpP1p08,orf8,P46,complement(7903..9102),1200,399,4,genbank_translation,475,160,179,386,12,0,23,26,23,26,4,29,27,37,5,52,10,23,20,27,20,13,4,18
P1-like,NC_002515.1,9,MpP1p09,orf9,P38.4,complement(9080..10054),975,324,4,genbank_translation,419,103,133,320,6,0,15,29,21,9,2,32,29,31,6,46,3,15,10,26,12,13,5,14
P1-like,NC_002515.1,10,MpP1p10,orf10,P38.8,complement(10060..11061),1002,333,4,genbank_translation,375,146,139,342,16,0,22,25,19,10,6,27,31,38,6,21,9,14,11,19,22,18,3,16
P1-like,NC_002515.1,11,MpP1p11,orf11,P10.1,complement(11045..11305),261,86,4,genbank_translation,126,44,32,59,3,0,2,12,2,1,1,5,13,11,2,10,3,4,2,6,6,1,1,1
L1-like,NC_001341.1,1,L1_4,,hypothetical protein,"join(3785..4491,1..94)",801,266,11,genbank_translation,309,160,131,201,15,3,7,13,15,14,6,26,29,28,4,16,9,16,11,13,13,11,3,14
L1-like,NC_001341.1,2,L1_1,,hypothetical protein,701..1009,309,102,11,genbank_translation,129,53,43,84,2,2,4,5,2,3,6,12,4,7,5,15,0,6,4,8,5,3,1,8
L1-like,NC_001341.1,3,L1_2,,hypothetical protein,1494..1985,492,163,11,genbank_translation,202,97,67,126,8,0,4,1,3,8,4,17,13,9,4,7,3,19,2,14,22,7,1,17
L1-like,NC_001341.1,4,L1_3,,hypothetical protein,3021..3605,585,194,11,genbank_translation,217,96,81,191,7,1,4,3,17,5,5,27,18,26,6,8,1,8,8,14,10,9,5,12
